Emp id,Emp name,Gender,Fav website,Qualification,Experience,Ctc (in lakhs),Salary per month (in lakhs),Joining date,Department,Marital status,Living status,Father's name,Birth date,Nature
30.0,"Mangiavacchi, Mr. Serafino Emilio",male,twitter,b.tech,20.0,21.0,175000.0,2010-02-24,senior level,um,rented,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",1978-06-24,aggressive
449.0,"Rice, Master. Albert",male, linkedin,bba,23.0,15.0,125000.0,2010-02-25,it,um,own house,"Pedersen, Mr. Olaf",1978-06-25,good
156.0,"Cor, Mr. Bartol",male, twitter.com hello I love to use twitter and facebook this is my passion,ba,6.0,23.0,191666.66666666672,2010-02-26,marketing,d,official,"Davidson, Mrs. Thornton (Orian Hays)",1978-06-26,bad
195.0,"Davison, Mr. Thomas Henry",male, facebook.com,phd,4.0,12.0,100000.0,2010-02-28,it,um,own house,"Birnbaum, Mr. Jakob",1978-06-28,funny
492.0,"Chaudanson, Miss. Victorine",female, instagram,10th,15.0,6.0,50000.0,2010-03-01,marketing,m,official,"Tenglin, Mr. Gunnar Isidor",1978-06-29,aggressive
488.0,"Dika, Mr. Mirko",male, facebook,12th,14.0,6.0,50000.0,2010-03-02,accounts,m,rented,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",1978-06-30,good
443.0,"McCrae, Mr. Arthur Gordon",male,twitter,uneducated,21.0,21.0,175000.0,2010-03-03,hr,um,own house,"Makinen, Mr. Kalle Edvard",1978-07-01,bad
284.0,"Bjorklund, Mr. Ernst Herbert",male, linkedin,m.tech,20.0,25.0,208333.33333333328,2010-03-04,head,um,official,"Braf, Miss. Elin Ester Maria",1978-07-02,normal
413.0,"Bradley, Miss. Bridget Delia",female, twitter.com,be,22.0,6.0,50000.0,2010-03-05,worker,m,rented,"Nancarrow, Mr. William Henry",1978-07-03,funny
50.0,"Ryerson, Master. John Borie",male, facebook.com,me,6.0,5.0,41666.66666666667,2010-03-06,worker,um,rented,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",1978-07-04,aggressive
283.0,"Corey, Mrs. Percy C (Mary Phyllis Elizabeth Miller)",female, instagram,iit delhi,2.0,18.0,150000.0,2010-03-07,senior level,um,own house,"Weisz, Mr. Leopold",1978-07-05,good
467.0,"Burns, Miss. Mary Delia",female, facebook,iit mumbai,23.0,11.0,91666.66666666666,2010-03-08,it,um,official,"Foley, Mr. William",1978-07-06,bad
321.0,"Moore, Mr. Clarence Bloomfield",male,twitter,iit roorkee,14.0,2.0,16666.666666666664,2010-03-09,marketing,d,rented,"Johansson Palmquist, Mr. Oskar Leander",1978-07-07,normal
257.0,"Tucker, Mr. Gilbert Milligan Jr",male, linkedin,mca,17.0,17.0,141666.6666666667,2010-03-10,it,m,own house,"Thomas, Mrs. Alexander (Thamine Thelma"")""",1978-07-08,funny
141.0,"Fortune, Mrs. Mark (Mary McDougald)",female, twitter.com,mba,8.0,7.0,58333.33333333334,2010-03-11,it,um,official,"Holthen, Mr. Johan Martin",1978-07-09,aggressive
216.0,"Mulvihill, Miss. Bertha E",female, facebook.com,bca,13.0,21.0,175000.0,2010-03-12,marketing,m,rented,"Buckley, Mr. Daniel",1978-07-10,good
179.0,"Nieminen, Miss. Manta Josefina",female, facebook,bba,17.0,23.0,191666.66666666672,2010-03-14,hr,um,official,"Willer, Mr. Aaron (Abi Weller"")""",1978-07-12,normal
36.0,"Ovies y Rodriguez, Mr. Servando",male,twitter,ba,13.0,19.0,158333.3333333333,2010-03-15,head,m,rented,"Swane, Mr. George",1978-07-13,funny
17.0,"Keeping, Mr. Edwin",male, twitter.com hello I love to use twitter and facebook this is my passion,phd,15.0,15.0,125000.0,2010-03-17,worker,um,official,"Shine, Miss. Ellen Natalia",1978-07-15,good
147.0,"Miles, Mr. Frank",male, twitter.com,10th,18.0,9.0,75000.0,2010-03-18,senior level,um,rented,"Evans, Miss. Edith Corse",1978-07-16,bad
167.0,"Cornell, Mrs. Robert Clifford (Malvina Helen Lamson)",female, facebook.com,12th,8.0,12.0,100000.0,2010-03-19,it,d,own house,"Buckley, Miss. Katherine",1978-07-17,normal
36.0,"Ovies y Rodriguez, Mr. Servando",male, instagram,ba,13.0,19.0,158333.3333333333,2010-03-15,head,m,rented,"Swane, Mr. George",1978-07-13,funny
164.0,"Doyle, Miss. Elizabeth",female, facebook,m.tech,6.0,18.0,150000.0,2010-03-21,it,um,rented,"Chronopoulos, Mr. Demetrios",1978-07-19,aggressive
87.0,"Boulos, Master. Akar",male,twitter,be,6.0,13.0,108333.33333333331,2010-03-22,it,m,own house,"Thomas, Mr. John",1978-07-20,good
338.0,"Straus, Mr. Isidor",male, linkedin,me,10.0,20.0,166666.6666666667,2010-03-23,marketing,m,official,"Sandstrom, Miss. Beatrice Irene",1978-07-21,bad
351.0,"Case, Mr. Howard Brown",male, twitter.com,iit delhi,17.0,12.0,100000.0,2010-03-24,accounts,um,rented,"Beattie, Mr. Thomson",1978-07-22,normal
160.0,"Lamb, Mr. John Joseph",male, instagram,iit roorkee,21.0,8.0,66666.66666666666,2010-03-26,head,m,official,"Watt, Miss. Bertha J",1978-07-24,aggressive
194.0,"Khalil, Mr. Betros",male, facebook,mca,12.0,15.0,125000.0,2010-03-27,worker,um,rented,"Kiernan, Mr. John",1978-07-25,good
69.0,"Barry, Miss. Julia",female,twitter,mba,11.0,17.0,141666.6666666667,2010-03-28,worker,um,rented,"Schabert, Mrs. Paul (Emma Mock)",1978-07-26,bad
385.0,"Badman, Miss. Emily Louisa",female, linkedin,bca,25.0,25.0,208333.33333333328,2010-03-29,senior level,um,own house,"Carver, Mr. Alfred John",1978-07-27,normal
228.0,"Wells, Master. Ralph Lester",male, facebook.com,bba,13.0,11.0,91666.66666666666,2010-03-31,marketing,m,rented,"Cribb, Miss. Laura Alice",1978-07-29,aggressive
12.0,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",female, instagram,ba,2.0,17.0,141666.6666666667,2010-04-01,it,um,own house,"Brobeck, Mr. Karl Rudolf",1978-07-30,good
56.0,"Pedersen, Mr. Olaf",male, facebook,ma,22.0,16.0,133333.3333333333,2010-04-02,it,m,official,"McCoy, Miss. Alicia",1978-07-31,bad
198.0,"Davidson, Mrs. Thornton (Orian Hays)",female,twitter,phd,25.0,4.0,33333.33333333333,2010-04-03,marketing,um,rented,"Bowenur, Mr. Solomon",1978-08-01,normal
314.0,"Guest, Mr. Robert",male, linkedin,10th,1.0,25.0,208333.33333333328,2010-04-04,accounts,um,own house,"Petersen, Mr. Marius",1978-08-02,funny
283.0,"Birnbaum, Mr. Jakob",male, twitter.com hello I love to use twitter and facebook this is my passion,12th,4.0,25.0,208333.33333333328,2010-04-05,hr,m,official,"Spinner, Mr. Henry John",1978-08-03,aggressive
68.0,"Tenglin, Mr. Gunnar Isidor",male, twitter.com,uneducated,10.0,18.0,150000.0,2010-04-06,head,um,rented,"Gracie, Col. Archibald IV",1978-08-04,good
338.0,"Cavendish, Mrs. Tyrell William (Julia Florence Siegel)",female, facebook.com,m.tech,17.0,23.0,191666.66666666672,2010-04-07,worker,um,own house,"Lefebre, Mrs. Frank (Frances)",1978-08-05,bad
309.0,"Makinen, Mr. Kalle Edvard",male, instagram,be,21.0,4.0,33333.33333333333,2010-04-08,worker,um,official,"Thomas, Mr. Charles P",1978-08-06,normal
312.0,"Braf, Miss. Elin Ester Maria",female, facebook,me,25.0,14.0,116666.66666666669,2010-04-09,senior level,d,rented,"Dintcheff, Mr. Valtcho",1978-08-07,funny
156.0,"Nancarrow, Mr. William Henry",male,twitter,iit delhi,17.0,14.0,116666.66666666669,2010-04-10,it,m,own house,"Carlsson, Mr. Carl Robert",1978-08-08,aggressive
105.0,"Stengel, Mrs. Charles Emil Henry (Annie May Morris)",female, linkedin,iit mumbai,2.0,17.0,141666.6666666667,2010-04-11,marketing,um,official,"Zakarian, Mr. Mapriededer",1978-08-09,good
428.0,"Weisz, Mr. Leopold",male, twitter.com,iit roorkee,5.0,11.0,91666.66666666666,2010-04-12,it,um,rented,"Schmidt, Mr. August",1978-08-10,bad
55.0,"Foley, Mr. William",male, facebook.com,mca,17.0,24.0,200000.0,2010-04-13,it,m,own house,"Drapkin, Miss. Jennie",1978-08-11,normal
440.0,"Johansson Palmquist, Mr. Oskar Leander",male, instagram,mba,20.0,18.0,150000.0,2010-04-14,marketing,um,official,"Goodwin, Mr. Charles Frederick",1978-08-12,funny
392.0,"Thomas, Mrs. Alexander (Thamine Thelma"")""",female, facebook,bca,20.0,18.0,150000.0,2010-04-15,accounts,um,rented,"Goodwin, Miss. Jessie Allis",1978-08-13,aggressive
386.0,"Buckley, Mr. Daniel",male, linkedin,bba,21.0,5.0,41666.66666666667,2010-04-17,head,d,official,"Ryerson, Mr. Arthur Larned",1978-08-15,bad
94.0,"Ryan, Mr. Edward",male, twitter.com,ba,5.0,9.0,75000.0,2010-04-18,worker,m,rented,"Beauchamp, Mr. Henry James",1978-08-16,normal
51.0,"Willer, Mr. Aaron (Abi Weller"")""",male, facebook.com,ma,16.0,18.0,150000.0,2010-04-19,worker,um,own house,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",1978-08-17,funny
167.0,"Swane, Mr. George",male, instagram,phd,11.0,5.0,41666.66666666667,2010-04-20,senior level,m,official,"Vander Planke, Mr. Julius",1978-08-18,aggressive
229.0,"Stanton, Mr. Samuel Ward",male, facebook,10th,9.0,16.0,133333.3333333333,2010-04-21,it,um,rented,"Hilliard, Mr. Herbert Henry",1978-08-19,good
16.0,"Shine, Miss. Ellen Natalia",female,twitter,12th,6.0,8.0,66666.66666666666,2010-04-22,marketing,um,own house,"Davies, Mr. Evan",1978-08-20,bad
100.0,"Evans, Miss. Edith Corse",female, linkedin,uneducated,21.0,4.0,33333.33333333333,2010-04-23,it,m,official,"Crafton, Mr. John Bertram",1978-08-21,normal
444.0,"Buckley, Miss. Katherine",female, twitter.com hello I love to use twitter and facebook this is my passion,m.tech,23.0,10.0,83333.33333333334,2010-04-24,it,m,rented,"Lahtinen, Rev. William",1978-08-22,funny
142.0,"Straus, Mrs. Isidor (Rosalie Ida Blun)",female, twitter.com,be,20.0,20.0,166666.6666666667,2010-04-25,marketing,um,own house,"Earnshaw, Mrs. Boulton (Olive Potter)",1978-08-23,aggressive
172.0,"Chronopoulos, Mr. Demetrios",male, facebook.com,me,10.0,15.0,125000.0,2010-04-26,accounts,um,official,"Matinoff, Mr. Nicola",1978-08-24,good
6.0,"Thomas, Mr. John",male, instagram,iit delhi,10.0,17.0,141666.6666666667,2010-04-27,hr,m,rented,"Storey, Mr. Thomas",1978-08-25,bad
396.0,"Sandstrom, Miss. Beatrice Irene",female, facebook,iit mumbai,3.0,17.0,141666.6666666667,2010-04-28,head,um,own house,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",1978-08-26,normal
463.0,"Beattie, Mr. Thomson",male,twitter,iit roorkee,8.0,6.0,50000.0,2010-04-29,worker,um,official,"Asplund, Master. Filip Oscar",1978-08-27,funny
81.0,"Chapman, Mrs. John Henry (Sara Elizabeth Lawry)",female, linkedin,mca,13.0,12.0,100000.0,2010-04-30,worker,um,rented,"Duquemin, Mr. Joseph",1978-08-28,aggressive
102.0,"Watt, Miss. Bertha J",female, twitter.com,mba,6.0,19.0,158333.3333333333,2010-05-01,senior level,d,own house,"Bird, Miss. Ellen",1978-08-29,good
280.0,"Kiernan, Mr. John",male, facebook.com,bca,1.0,19.0,158333.3333333333,2010-05-02,it,m,official,"Lundin, Miss. Olga Elida",1978-08-30,bad
79.0,"Schabert, Mrs. Paul (Emma Mock)",female, instagram,b.tech,14.0,13.0,108333.33333333331,2010-05-03,marketing,um,rented,"Borebank, Mr. John James",1978-08-31,normal
106.0,"Carver, Mr. Alfred John",male, facebook,bba,17.0,21.0,175000.0,2010-05-04,it,m,own house,"Peacock, Mrs. Benjamin (Edith Nile)",1978-09-01,funny
477.0,"Kennedy, Mr. John",male,twitter,ba,23.0,21.0,175000.0,2010-05-05,it,um,official,"Smyth, Miss. Julia",1978-09-02,aggressive
105.0,"Cribb, Miss. Laura Alice",female, linkedin,ma,15.0,25.0,208333.33333333328,2010-05-06,marketing,um,rented,"Touma, Master. Georges Youssef",1978-09-03,good
448.0,"Brobeck, Mr. Karl Rudolf",male, twitter.com,phd,10.0,25.0,208333.33333333328,2010-05-07,accounts,m,own house,"Wright, Miss. Marion",1978-09-04,bad
383.0,"McCoy, Miss. Alicia",female, facebook.com,10th,6.0,12.0,100000.0,2010-05-08,hr,um,official,"Pearce, Mr. Ernest",1978-09-05,normal
254.0,"Bowenur, Mr. Solomon",male, instagram,12th,25.0,18.0,150000.0,2010-05-09,head,um,rented,"Peruschitz, Rev. Joseph Maria",1978-09-06,funny
148.0,"Petersen, Mr. Marius",male, facebook,uneducated,13.0,25.0,208333.33333333328,2010-05-10,worker,um,own house,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",1978-09-07,aggressive
54.0,"Spinner, Mr. Henry John",male,twitter,m.tech,13.0,16.0,133333.3333333333,2010-05-11,worker,d,official,"Brandeis, Mr. Emil",1978-09-08,good
303.0,"Gracie, Col. Archibald IV",male, linkedin,be,4.0,24.0,200000.0,2010-05-12,senior level,m,rented,"Ford, Mr. Edward Watson",1978-09-09,bad
51.0,"Thomas, Mr. Charles P",male, twitter.com,iit delhi,25.0,7.0,58333.33333333334,2010-05-14,marketing,m,official,"Hellstrom, Miss. Hilda Maria",1978-09-11,funny
337.0,"Dintcheff, Mr. Valtcho",male, facebook.com,iit mumbai,3.0,16.0,133333.3333333333,2010-05-15,it,m,rented,"Lithman, Mr. Simon",1978-09-12,aggressive
138.0,"Carlsson, Mr. Carl Robert",male, instagram,iit roorkee,13.0,8.0,66666.66666666666,2010-05-16,it,um,own house,"Zakarian, Mr. Ortin",1978-09-13,good
154.0,"Schmidt, Mr. August",male,twitter,mba,19.0,14.0,116666.66666666669,2010-05-18,accounts,m,rented,"Torfa, Mr. Assad",1978-09-15,normal
2.0,"Drapkin, Miss. Jennie",female, linkedin,bca,11.0,11.0,91666.66666666666,2010-05-19,hr,um,own house,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",1978-09-16,funny
304.0,"Goodwin, Mr. Charles Frederick",male, twitter.com,b.tech,25.0,9.0,75000.0,2010-05-20,head,um,official,"Brown, Miss. Edith Eileen",1978-09-17,aggressive
416.0,"Goodwin, Miss. Jessie Allis",female, facebook.com,bba,9.0,12.0,100000.0,2010-05-21,worker,um,rented,"Sincock, Miss. Maude",1978-09-18,good
155.0,"Daniels, Miss. Sarah",female, instagram,ba,7.0,13.0,108333.33333333331,2010-05-22,worker,d,own house,"Stengel, Mr. Charles Emil Henry",1978-09-19,bad
231.0,"Ryerson, Mr. Arthur Larned",male, facebook,ma,11.0,7.0,58333.33333333334,2010-05-23,senior level,m,official,"Becker, Mrs. Allen Oliver (Nellie E Baumgardner)",1978-09-20,normal
479.0,"Beauchamp, Mr. Henry James",male,twitter,phd,14.0,10.0,83333.33333333334,2010-05-24,it,um,rented,"Compton, Mrs. Alexander Taylor (Mary Eliza Ingersoll)",1978-09-21,funny
485.0,"Lindeberg-Lind, Mr. Erik Gustaf (Mr Edward Lingrey"")""",male, linkedin,10th,1.0,6.0,50000.0,2010-05-25,marketing,m,own house,"McCrie, Mr. James Matthew",1978-09-22,aggressive
208.0,"Vander Planke, Mr. Julius",male, twitter.com,12th,19.0,10.0,83333.33333333334,2010-05-26,it,um,official,"Compton, Mr. Alexander Taylor Jr",1978-09-23,good
382.0,"Hilliard, Mr. Herbert Henry",male, facebook.com,uneducated,18.0,20.0,166666.6666666667,2010-05-27,it,um,rented,"Marvin, Mrs. Daniel Warner (Mary Graham Carmichael Farquarson)",1978-09-24,bad
221.0,"Davies, Mr. Evan",male, instagram,m.tech,12.0,15.0,125000.0,2010-05-28,marketing,m,own house,"Lane, Mr. Patrick",1978-09-25,normal
271.0,"Crafton, Mr. John Bertram",male, facebook,be,7.0,11.0,91666.66666666666,2010-05-29,accounts,um,official,"Douglas, Mrs. Frederick Charles (Mary Helene Baxter)",1978-09-26,funny
11.0,"Lahtinen, Rev. William",male,twitter,me,17.0,21.0,175000.0,2010-05-30,hr,um,rented,"Maybery, Mr. Frank Hubert",1978-09-27,aggressive
290.0,"Earnshaw, Mrs. Boulton (Olive Potter)",female, linkedin,iit delhi,12.0,18.0,150000.0,2010-05-31,head,um,rented,"Phillips, Miss. Alice Frances Louisa",1978-09-28,good
220.0,"Matinoff, Mr. Nicola",male, twitter.com hello I love to use twitter and facebook this is my passion,iit mumbai,13.0,23.0,191666.66666666672,2010-06-01,worker,d,own house,"Davies, Mr. Joseph",1978-09-29,bad
173.0,"Storey, Mr. Thomas",male, twitter.com,iit roorkee,22.0,13.0,108333.33333333331,2010-06-02,worker,m,official,"Sage, Miss. Ada",1978-09-30,normal
269.0,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",female, facebook.com,mca,1.0,23.0,191666.66666666672,2010-06-03,senior level,um,rented,"Veal, Mr. James",1978-10-01,funny
278.0,"Asplund, Master. Filip Oscar",male, instagram,mba,24.0,4.0,33333.33333333333,2010-06-04,it,um,own house,"Angle, Mr. William A",1978-10-02,aggressive
300.0,"Duquemin, Mr. Joseph",male, facebook,bca,3.0,16.0,133333.3333333333,2010-06-05,marketing,m,official,"Salomon, Mr. Abraham L",1978-10-03,good
402.0,"Bird, Miss. Ellen",female,twitter,b.tech,7.0,20.0,166666.6666666667,2010-06-06,it,um,rented,"van Billiard, Master. Walter John",1978-10-04,bad
176.0,"Lundin, Miss. Olga Elida",female, linkedin,bba,13.0,5.0,41666.66666666667,2010-06-07,it,um,own house,"Lingane, Mr. John",1978-10-05,normal
166.0,"Borebank, Mr. John James",male, twitter.com,ba,17.0,19.0,158333.3333333333,2010-06-08,marketing,um,official,"Drew, Master. Marshall Brines",1978-10-06,funny
403.0,"Peacock, Mrs. Benjamin (Edith Nile)",female, facebook.com,ma,13.0,11.0,91666.66666666666,2010-06-09,accounts,d,rented,"Karlsson, Mr. Julius Konrad Eugen",1978-10-07,aggressive
436.0,"Smyth, Miss. Julia",female, instagram,phd,16.0,9.0,75000.0,2010-06-10,hr,m,own house,"Spedden, Master. Robert Douglas",1978-10-08,good
350.0,"Touma, Master. Georges Youssef",male, facebook,10th,17.0,9.0,75000.0,2010-06-11,head,um,official,"Nilsson, Miss. Berta Olivia",1978-10-09,bad
153.0,"Wright, Miss. Marion",female,twitter,12th,10.0,5.0,41666.66666666667,2010-06-12,worker,m,rented,"Baimbrigge, Mr. Charles Robert",1978-10-10,normal
146.0,"Pearce, Mr. Ernest",male, linkedin,uneducated,7.0,18.0,150000.0,2010-06-13,worker,um,own house,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",1978-10-11,funny
107.0,"Peruschitz, Rev. Joseph Maria",male, twitter.com,m.tech,2.0,11.0,91666.66666666666,2010-06-14,senior level,um,official,"Murphy, Miss. Nora",1978-10-12,aggressive
118.0,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",female, facebook.com,be,20.0,4.0,33333.33333333333,2010-06-15,it,m,rented,"Danbom, Master. Gilbert Sigvard Emanuel",1978-10-13,good
77.0,"Brandeis, Mr. Emil",male, instagram,me,21.0,3.0,25000.0,2010-06-16,marketing,um,own house,"Astor, Col. John Jacob",1978-10-14,bad
